epoch,loss,accuracy
0,1.4963977336883545,0.0
1,1.4095790386199951,0.5
2,1.4658210277557373,0.5
3,1.3266478776931763,0.0
4,1.5762735605239868,0.0
5,1.1169739961624146,0.5
6,1.0763390064239502,0.5
7,1.0962414741516113,0.75
8,1.0763217210769653,0.5
9,0.9529272317886353,0.75
10,1.1475555896759033,0.25
11,0.9449472427368164,0.75
12,1.051700472831726,0.75
13,1.0420300960540771,0.75
14,0.9154348373413086,0.75
15,0.925148069858551,0.75
16,0.9094606637954712,0.5
17,0.936754584312439,0.75
18,0.8962044715881348,0.75
19,0.8444117307662964,0.75
20,0.8217143416404724,0.75
21,0.8456646800041199,0.75
22,0.8120374083518982,0.75
23,0.8071562647819519,0.75
24,0.8370541334152222,0.75
25,0.7731783390045166,0.75
26,0.7876579761505127,0.75
27,0.7344545722007751,0.75
28,0.7714427709579468,0.75
29,0.6650693416595459,0.75
30,0.720136821269989,0.75
31,0.6921919584274292,0.75
32,0.6901818513870239,0.75
33,0.7329967021942139,1.0
34,0.7652244567871094,0.75
35,0.6304506659507751,0.75
36,0.8091031312942505,0.75
37,0.5938852429389954,0.75
38,0.6360287666320801,0.75
39,0.6581881046295166,0.75
40,0.6120538115501404,0.75
41,0.6069363951683044,0.75
42,0.6499149203300476,0.75
43,0.6925081610679626,0.75
44,0.5812476873397827,0.75
45,0.6507658958435059,1.0
46,0.544524610042572,0.75
47,0.5809463858604431,0.75
48,0.6451318264007568,0.75
49,0.5343391299247742,0.75
50,0.49924182891845703,1.0
51,0.5225021839141846,0.75
52,0.5720233917236328,1.0
53,0.6355272531509399,1.0
54,0.551871657371521,0.75
55,0.5161123275756836,0.75
56,0.48978325724601746,0.75
57,0.5199196934700012,0.75
58,0.5184929966926575,0.75
59,0.4687506854534149,0.75
60,0.4626690745353699,0.75
61,0.4704075753688812,0.75
62,0.4670780599117279,0.75
63,0.4167998433113098,0.75
64,0.45455944538116455,1.0
65,0.37288400530815125,0.75
66,0.39122989773750305,1.0
67,0.47894716262817383,1.0
68,0.3616807758808136,0.75
69,0.42518457770347595,0.75
70,0.3560086488723755,1.0
71,0.37072479724884033,0.75
72,0.30832409858703613,1.0
73,0.4607541561126709,0.75
74,0.34856611490249634,0.75
75,0.3615758717060089,0.5
76,0.2702707052230835,1.0
77,0.3170311748981476,1.0
78,0.31341224908828735,1.0
79,0.28415897488594055,1.0
80,0.31562691926956177,0.5
81,0.30687931180000305,1.0
82,0.31779709458351135,0.75
83,0.32651615142822266,1.0
84,0.2615799605846405,1.0
85,0.24209360778331757,0.75
86,0.22644855082035065,0.75
87,0.2191217839717865,0.75
88,0.24665911495685577,1.0
89,0.2089882791042328,1.0
90,0.22736185789108276,1.0
91,0.23650911450386047,1.0
92,0.2448779195547104,1.0
93,0.22822552919387817,1.0
94,0.2012406885623932,1.0
95,0.22999541461467743,0.75
96,0.17604413628578186,0.75
97,0.2357437014579773,0.75
98,0.23344165086746216,0.75
99,0.1732652485370636,1.0
100,0.16905760765075684,1.0
101,0.16172204911708832,0.75
102,0.1528739035129547,1.0
103,0.13314473628997803,1.0
104,0.2046739161014557,1.0
105,0.13402137160301208,1.0
106,0.12964370846748352,1.0
107,0.12344304472208023,0.75
108,0.1253390908241272,1.0
109,0.17191174626350403,1.0
110,0.13432486355304718,1.0
111,0.1280338317155838,0.75
112,0.17523226141929626,0.75
113,0.1350049078464508,1.0
114,0.1706112176179886,0.75
115,0.10569498687982559,1.0
116,0.10750264674425125,1.0
117,0.10893426090478897,0.75
118,0.1134478971362114,1.0
119,0.10081036388874054,1.0
120,0.10695037245750427,1.0
121,0.09936017543077469,1.0
122,0.09645932167768478,1.0
123,0.14047472178936005,0.75
124,0.11064248532056808,1.0
125,0.0906994566321373,1.0
126,0.08492770791053772,1.0
127,0.08545476943254471,0.75
128,0.10154072195291519,0.75
129,0.09875160455703735,1.0
130,0.07107125222682953,1.0
131,0.07498939335346222,1.0
132,0.12335287034511566,1.0
133,0.07587600499391556,1.0
134,0.07381298393011093,1.0
135,0.08023349940776825,0.75
136,0.09071365743875504,1.0
137,0.08738116919994354,1.0
138,0.09154193103313446,1.0
139,0.13337357342243195,1.0
140,0.09941624104976654,0.75
141,0.0710940733551979,1.0
142,0.06458820402622223,1.0
143,0.0722055435180664,1.0
144,0.08266716450452805,1.0
145,0.0772516280412674,1.0
146,0.08900784701108932,0.75
147,0.07071547955274582,1.0
148,0.08925239741802216,0.75
149,0.07533358782529831,1.0
150,0.0919489786028862,0.75
151,0.0806184783577919,0.75
152,0.05881597846746445,1.0
153,0.06692937761545181,1.0
154,0.04478162154555321,1.0
155,0.05369202792644501,1.0
156,0.05634847655892372,0.75
157,0.07184043526649475,0.75
158,0.07157859206199646,0.75
159,0.05173371359705925,1.0
160,0.04823869466781616,1.0
161,0.044033896178007126,1.0
162,0.08339139819145203,0.75
163,0.05875397101044655,1.0
164,0.05296271666884422,1.0
165,0.045055143535137177,1.0
166,0.05161473900079727,0.75
167,0.05441902205348015,1.0
168,0.04698191583156586,1.0
169,0.043011754751205444,1.0
170,0.09265999495983124,0.75
171,0.07255025207996368,1.0
172,0.0501280352473259,1.0
173,0.03936487063765526,0.75
174,0.05093685910105705,0.75
175,0.04573658108711243,1.0
176,0.03211725503206253,1.0
177,0.043403368443250656,1.0
178,0.0378836952149868,1.0
179,0.048538271337747574,0.75
180,0.048873309046030045,0.75
181,0.04541781544685364,1.0
182,0.031833671033382416,1.0
183,0.037128932774066925,0.75
184,0.032599810510873795,1.0
185,0.06848569959402084,0.75
186,0.0485050268471241,1.0
187,0.048174839466810226,1.0
188,0.03348851948976517,1.0
189,0.05803526192903519,1.0
190,0.037860359996557236,1.0
191,0.03428451344370842,1.0
192,0.07453062385320663,0.75
193,0.032946668565273285,1.0
194,0.039570994675159454,1.0
195,0.029487045481801033,1.0
196,0.04392470419406891,1.0
197,0.05665413290262222,0.75
198,0.028533263131976128,1.0
199,0.04834788665175438,0.75
200,0.044193852692842484,0.75
